Initial_temp;Epochs;Time[ms];Distance;Path
gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie geometryczne) (n=17)
10918001.0000;15264;70.4980;2993
9811011.0000;22583;100.6790;2929
9270175.0000;10341;44.9300;2747
9530237.0000;15841;66.0000;3108
11260915.0000;30776;128.7950;2845
12094034.0000;13825;56.8690;2736
9937590.0000;19236;83.4560;3039
10262092.0000;15756;69.4290;2944
11304642.0000;12589;58.4470;2991
11502565.0000;12570;59.7040;3075
10892685.0000;16758;76.2230;3019
10584293.0000;12026;54.6340;2853
10324231.0000;11877;52.3940;2921
10179241.0000;26182;117.5200;2956
11868493.0000;18159;84.0410;2883
11783340.0000;16059;76.6520;2963
11497962.0000;24328;110.5670;2909
11769531.0000;13549;61.5480;2924
10400178.0000;22902;97.3250;2880
12146967.0000;15812;67.1110;3101
11965153.0000;18962;81.6620;2822
11150446.0000;18566;79.7890;2698
10506044.0000;11572;53.0750;3083
10878877.0000;11128;50.3750;2800
11109020.0000;15798;67.4630;2914
8416343.0000;23169;100.6840;2874
11283929.0000;12653;56.1180;3084
10894987.0000;19904;84.2810;2978
10356451.0000;12330;53.8250;2748
10416289.0000;15300;63.5950;3021
11477249.0000;11041;47.2660;3098
11067594.0000;25736;105.2730;2687
10229872.0000;13467;56.8530;2953
11491058.0000;11482;49.4750;3012
10996250.0000;16723;71.7900;2722
12473770.0000;10105;44.0860;2754
9785696.0000;25979;113.5260;3069
10722379.0000;11302;47.3550;3035
10830547.0000;31280;143.7880;2912
11417412.0000;11051;52.4520;3095
11739613.0000;21215;95.9380;2754
10789121.0000;14633;64.9690;2880
11343766.0000;21249;89.9350;2873
9617691.0000;13777;62.3570;3085
11560101.0000;13034;55.8240;2975
11610733.0000;14165;59.5090;2877
8282860.0000;31854;135.3660;2981
10685556.0000;20010;88.3370;2758
10117102.0000;16807;71.1150;2763
10216064.0000;28833;123.1720;2847
11955948.0000;13907;61.5900;3037
11069896.0000;13466;56.9200;2952
10473824.0000;15151;65.2990;2995
10153925.0000;38689;155.8810;2814
11481852.0000;12059;50.2950;2871
10216064.0000;13306;56.8180;3031
11111321.0000;15805;65.9720;2894
11033073.0000;15758;64.0510;2710
11120527.0000;11030;45.8860;2747
10881178.0000;28593;120.2760;2868
11465742.0000;15091;64.3010;2939
10243681.0000;13436;55.5910;2701
11567005.0000;12287;53.1380;3075
11046881.0000;15071;62.5780;3004
11649857.0000;13971;57.9200;3022
11072197.0000;35044;142.2690;2871
12683201.0000;14376;58.8030;2936
11804053.0000;10695;44.1700;2996
11576211.0000;15590;67.2190;2967
10568183.0000;25635;104.0750;3025
10018140.0000;29165;117.5260;2941
11254010.0000;22177;92.1470;2813
9631500.0000;16110;68.6980;2933
11012360.0000;11403;48.3630;2972
11150446.0000;13390;61.0400;3034
9445084.0000;16907;82.6920;3038
9378342.0000;23281;104.9260;2940
10393274.0000;19822;86.7630;2783
9419768.0000;33341;137.5810;2854
12103239.0000;16910;70.3010;2757
11827067.0000;25059;105.1420;2878
11058388.0000;23702;96.8440;2822
11787943.0000;24850;105.3380;2675
11306943.0000;12904;56.3730;3069
9046936.0000;20508;88.6280;2982
10167734.0000;12103;53.0480;2953
11346068.0000;11335;49.4500;3140
11698187.0000;17030;79.2050;2900
8547524.0000;16750;81.2830;3129
10395576.0000;12561;65.2970;2891
9827122.0000;25147;114.4420;3034

gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie logarytmiczne) (n=17)
11965153.0000;10517;34.0490;2878
11219489.0000;19263;74.1600;2958
9944495.0000;11187;39.0430;2986
9401356.0000;22031;76.5810;2827
11707393.0000;17811;61.5360;2878
8588950.0000;18121;62.5830;3027
12715421.0000;14336;59.0480;2835
12291957.0000;18167;64.4780;2875
10835149.0000;11289;42.3830;2790
10890384.0000;13961;46.5110;3057
10837451.0000;15196;52.0190;3049
11141240.0000;13347;43.3340;2968
11562402.0000;10091;32.6350;2862
10807532.0000;13163;45.7130;3008
11808656.0000;21073;67.8230;2763
12860411.0000;25183;83.2150;2985
11129733.0000;14157;39.9290;2972
10899590.0000;16119;47.4370;2868
10770709.0000;10661;33.6330;2798
10476126.0000;16282;47.5270;2921
10588896.0000;10065;30.5330;2867
10568183.0000;16532;48.4110;2893
9525634.0000;13460;40.0920;3070
9898466.0000;12027;34.2410;2986
11035374.0000;20621;57.7720;2877
10273600.0000;19988;59.5990;3028
9424371.0000;24415;77.0960;2879
11212585.0000;11516;36.3100;2598
11449632.0000;12288;42.3710;2878
12176885.0000;15802;56.8430;2883
10282805.0000;10152;36.5960;3021
11613034.0000;15309;47.4590;2980
