Initial_temp;Epochs;Time[ms];Distance;Path
gr17.txt;2085;[0 3 12 6 7 5 16 13 14 2 10 9 1 4 8 11 15 0]  (2 zamiana) (chlodzenie geometryczne) (n=17)
920911.0000;13643;55.0190;5264
854578.0000;15627;65.3030;5088
878626.0000;12364;52.6570;5280
770465.0000;14599;58.7410;5112
869622.0000;41401;166.4530;4887
796451.0000;10767;44.2550;4921
938235.0000;21811;90.7640;5204
914870.0000;14835;61.3550;4544
886149.0000;25250;104.6170;4939
819702.0000;13618;56.6350;5072
924102.0000;15765;63.1550;5080
768755.0000;25374;103.5990;5096
880222.0000;12813;52.1360;4910
881931.0000;12487;53.0940;4871
798958.0000;15656;64.6570;5032
688290.0000;27879;116.2510;4980
851614.0000;21111;86.2920;4954
898686.0000;19331;79.3720;5091
784940.0000;11703;47.0140;5217
862784.0000;10390;42.3410;5147
976188.0000;12409;52.4580;5314
914870.0000;14966;62.2750;5040
822893.0000;14231;57.2580;4985
967982.0000;27224;108.5980;5122
897204.0000;10129;41.2260;5294
837140.0000;10842;43.8730;5058
948492.0000;22910;99.0560;4822
958408.0000;17743;82.8570;5130
867115.0000;10072;45.4430;5109
844320.0000;35078;147.4490;5066
927179.0000;12753;52.8350;4983
1018358.0000;14533;59.5370;5300
901421.0000;19041;76.9060;4998
753939.0000;16763;68.3290;5203
880564.0000;26116;109.3030;5058
876917.0000;15291;62.6270;5088
727383.0000;14890;59.9500;5492
847055.0000;15610;63.7040;5095
865291.0000;18176;74.1460;4882
907576.0000;13775;56.9820;4972
853552.0000;10955;45.7550;5151
945415.0000;19791;80.9440;4631
805455.0000;11638;48.9380;5280
821411.0000;12339;51.1710;5268
856629.0000;13137;53.5750;5044
927863.0000;13249;54.7700;5129
859365.0000;11129;45.7690;4814
764766.0000;11408;47.0940;5241
830757.0000;12200;50.0220;5053
950430.0000;11916;58.7800;5179
1000465.0000;19211;82.1450;5086
853780.0000;19300;78.4860;5028
959662.0000;18667;76.2550;4689
860960.0000;13305;56.2030;4815
858909.0000;21008;87.2060;4929
780381.0000;14958;60.5190;5200
